transaction_id,timestamp,merchant_id,amount,avg_amount_30d,amount_ratio,customer_tenure_days,device_age_days,distance_from_home_km,failed_attempts_1h,tx_count_10m,shared_cards_24h,shared_devices_24h,merchant_risk_score,hour_of_day,is_international,is_new_device,billing_shipping_mismatch,is_fraud,attack_type
txn_demo_011791,2026-08-14 07:22:33+00:00,merchant_015,364.87721903982253,1041.4859027506395,0.3503429264631959,539.20108374703,87.34655899687964,0.41194794862811973,0,2,0,0,0.25581808332477685,7,0,0,0,0,legitimate
txn_demo_011143,2026-08-11 17:30:52+00:00,merchant_054,1342.9747855086525,231.95684836414006,5.789761306811552,176.04076935738013,64.58898608960263,12.067702789788257,0,1,0,0,0.34570954734805903,17,0,0,0,0,legitimate
txn_demo_011069,2026-08-11 11:26:45+00:00,merchant_029,365.02414603897,307.0119192968266,1.1889575716637104,218.3710359695923,295.4892699167738,1.6104577440092094,0,3,0,0,0.2622987988490213,11,0,0,0,0,legitimate
txn_demo_010362,2026-08-08 15:20:06+00:00,merchant_013,1216.119049452168,305.91606190520696,3.9753357240490437,743.0341295693141,210.89373880426535,16.32555610716095,0,4,1,0,0.1776443885015954,15,0,0,0,0,legitimate
txn_demo_011471,2026-08-13 01:00:59+00:00,merchant_048,1023.2197769105682,156.61957355670748,6.533153894331665,282.173845672315,77.56469329832628,21.325541681260496,0,1,0,0,0.021983407873964994,1,0,1,0,0,legitimate
txn_demo_010270,2026-08-08 07:07:11+00:00,merchant_030,304.6488088142512,693.5805230117155,0.43924072073330883,298.0458118656291,43.33726443891086,2.8236694636968025,0,2,0,1,0.6681779454052628,7,0,0,0,0,legitimate
txn_demo_010447,2026-08-08 22:14:29+00:00,merchant_014,1204.5115045141142,447.9403484014779,2.688999793862151,211.71882881184408,130.17048048146404,0.8711450627983754,0,4,0,0,0.47385220927194077,22,0,0,0,0,legitimate
txn_demo_010522,2026-08-09 06:22:35+00:00,merchant_003,426.4292802269041,458.40591334379917,0.930243846804583,143.99553483526748,183.17676316033962,18.592906083014586,0,3,1,0,0.17950910750997837,6,0,0,0,0,legitimate
txn_demo_011859,2026-08-14 13:25:10+00:00,merchant_035,1928.4383641566008,905.5747103566924,2.129518792985084,316.50808784127094,66.27661218891939,10.646598600252673,0,4,0,0,0.2439433187211569,13,0,0,0,0,legitimate
txn_demo_011204,2026-08-11 22:06:23+00:00,merchant_038,953.406756300125,240.29141292851725,3.9677104757120385,921.24970263026,84.16818668751614,2.8558995474781073,1,1,0,0,0.0140071996596004,22,0,0,0,0,legitimate
txn_demo_011862,2026-08-14 13:32:50+00:00,merchant_028,271.7571039423797,986.8778823519722,0.2753705486789468,740.1464298260324,55.51839375899654,36.712888189630426,0,3,0,0,0.19829264423184265,13,0,0,0,0,legitimate
txn_demo_011109,2026-08-11 14:24:50+00:00,merchant_012,179.45819425813866,594.4798622186906,0.30187430334203913,145.4477648764972,7.1846923572842805,40.13851453477512,3,17,0,0,0.15271159009206056,14,0,1,0,0,card_testing
txn_demo_011425,2026-08-12 19:51:20+00:00,merchant_050,232.97960213597577,117.19860305591116,1.9879042587634745,300.99158964898066,62.35960414753566,14.750442611641756,1,1,0,0,0.556900906530403,19,0,0,0,0,legitimate
txn_demo_011101,2026-08-11 13:47:04+00:00,merchant_034,1539.7166426539316,462.17012321014005,3.3314932431360376,75.28280630657089,78.47684183071205,1.0026957239696561,0,3,0,0,0.1763071875818489,13,0,0,0,0,legitimate
txn_demo_010791,2026-08-10 07:23:21+00:00,merchant_042,28.52619904824821,161.4014728861026,0.17674063648959704,483.92071635964965,205.00430519331567,20.865655248888757,1,10,4,10,0.6967750378814632,7,0,0,0,0,abuse_ring
